"Date	Time	IPaddress"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:42:57	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:43:54	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:11	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"
"2022-10-05	17:44:27	192.168.0.102"

2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:02	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	20:35:14	192.168.0.102
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	22:40:11	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:29:41	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:16	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:30:49	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
2022-10-07	23:33:47	10.1.10.138
